haha,h,0,1,2,3,4,5
1,0,0.672616703,1.425262766,1.726165186,2.320833151,1.544615146,1.401492271
,1,-0.436219142,-0.72288203,-0.212153862,0.641038814,0.422845586,-0.12482161
,2,-1.15693699,-0.77244812,0.107126194,0.355024331,0.18285087,-0.695001838
,3,1.253804631,1.241387287,1.362658516,2.122507434,2.038128366,0.977583895
,4,-0.846096517,-0.898163453,-0.494571409,0.545798922,-0.263597578,-0.061685024
,5,-0.538380731,-0.702129948,0.546508678,0.194858743,0.647341421,-0.258554143
,6,0.232291406,1.08228128,1.056008269,1.487429167,0.917705879,1.27248518
,7,0.036101651,1.028712061,0.968146026,0.724772299,1.141179854,0.2259254
,8,1.272267003,1.674283458,2.105716789,2.085009237,1.527687766,1.766733563
,9,2.758435887,3.022760485,3.648036472,3.264217096,3.679469979,3.747858942
2,0,0.875809007,0.804414289,-0.072241813,0.298576969,-0.484241234,0.319819537
,1,-0.961930008,-1.097882907,-1.472412925,-1.897649372,-2.14464665,-1.499243583
,2,-0.471437816,-1.816281836,-1.870170346,-1.495392889,-1.488158909,-2.153502333
,3,1.252584923,0.42041733,0.415567181,-0.293954374,-0.435337769,0.487807993
,4,-0.845822694,-0.999700353,-1.490662687,-1.437492656,-1.729813592,-2.053446086
,5,-0.513915101,-1.307252011,-1.811406716,-1.699395431,-1.194629577,-1.430732573
,6,0.801140658,-0.060034428,-0.705382542,-1.145113576,-0.591910082,-0.369925706
,7,0.24353815,0.067438783,-0.727573687,-0.915104883,-0.447713361,-0.388578907
,8,1.594139799,0.31618267,0.560945347,-0.05904032,0.064899839,0.136078477
,9,3.176283637,2.705510839,1.661566793,2.192463989,1.621890554,1.607727312
3,0,0.998466855,1.42437645,1.31025412,1.408297009,2.225558284,2.220475447
,1,-1.414914806,-0.971053818,0.1104314,0.555806804,-0.116818488,-0.303832798
,2,-1.077410521,-1.091776699,-0.245892051,-0.290888087,-0.323796859,-0.168961086
,3,0.644451379,1.368131605,1.006878104,1.963455477,2.073513038,1.515583175
,4,-1.548836977,-0.413433638,-0.276232436,0.157677162,0.468066442,-0.086129284
,5,-1.172888444,-0.830529245,-0.533015511,0.258571665,0.239514599,0.42424807
,6,-0.406281465,0.610772296,1.464270129,1.572023472,1.406037053,1.413914921
,7,-0.126965059,-0.117298116,0.994146538,0.872456096,1.440124948,1.007388919
,8,0.792070207,1.175433168,1.596655433,1.898095181,2.216120888,2.045813542
,9,1.977736327,2.895550717,3.391328468,3.144584104,3.759552634,3.054606215
