,g,d,g1,d1
1,0.236594114,0.231367702,0.2082,0.2237
2,0.233809929,0.233445997,0.2082,0.2237
3,0.233680091,0.236257608,0.2082,0.2237
4,0.234900057,0.240712399,0.2082,0.2237
5,0.232794738,0.243649836,0.2082,0.2237
6,0.231808536,0.241913135,0.2082,0.2237
7,0.229349231,0.241989071,0.2082,0.2237
8,0.229202234,0.241833861,0.2082,0.2237
9,0.226434642,0.238804097,0.2082,0.2237
10,0.228230085,0.240065153,0.2082,0.2237
11,0.225283201,0.241682405,0.2082,0.2237
12,0.224956383,0.241330619,0.2082,0.2237
13,0.222395535,0.241201634,0.2082,0.2237
14,0.221381363,0.238690431,0.2082,0.2237
15,0.219662948,0.238542254,0.2082,0.2237
16,0.217443727,0.235787506,0.2082,0.2237
17,0.216921207,0.238534625,0.2082,0.2237
18,0.214916678,0.233033473,0.2082,0.2237
19,0.212628021,0.235774035,0.2082,0.2237
20,0.209786644,0.234724278,0.2082,0.2237
21,0.208812971,0.233361061,0.2082,0.2237
22,0.206291101,0.235088463,0.2082,0.2237
23,0.205290668,0.23347878,0.2082,0.2237
24,0.20466964,0.227955754,0.2082,0.2237
25,0.202171423,0.225638206,0.2082,0.2237
26,0.198710035,0.224542673,0.2082,0.2237
27,0.19551663,0.221388454,0.2082,0.2237
28,0.195314031,0.221392448,0.2082,0.2237
29,0.193474879,0.220966156,0.2082,0.2237
30,0.189403605,0.21752816,0.2082,0.2237
31,0.187912888,0.215623612,0.2082,0.2237
32,0.186040383,0.215543027,0.2082,0.2237
33,0.182548116,0.212251182,0.2082,0.2237
34,0.179898879,0.215258832,0.2082,0.2237
35,0.179698426,0.21391135,0.2082,0.2237
36,0.180757176,0.211594934,0.2082,0.2237
37,0.179515593,0.208868082,0.2082,0.2237
38,0.178386642,0.206664319,0.2082,0.2237
39,0.176374396,0.205291147,0.2082,0.2237
40,0.175982089,0.202596481,0.2082,0.2237
41,0.175485678,0.1996386,0.2082,0.2237
42,0.176515966,0.198623891,0.2082,0.2237
43,0.175055162,0.199344869,0.2082,0.2237
44,0.172487449,0.1970908,0.2082,0.2237
45,0.172885147,0.194700952,0.2082,0.2237
46,0.171442808,0.194372232,0.2082,0.2237
47,0.172929196,0.19710743,0.2082,0.2237
48,0.170314624,0.192418392,0.2082,0.2237
49,0.168924915,0.190946038,0.2082,0.2237
50,0.168737809,0.190130169,0.2082,0.2237
51,0.1697054,0.188593144,0.2082,0.2237
52,0.167042806,0.187870259,0.2082,0.2237
53,0.168208811,0.186506684,0.2082,0.2237
54,0.166575378,0.185220118,0.2082,0.2237
55,0.164134627,0.184185679,0.2082,0.2237
56,0.16347492,0.182663555,0.2082,0.2237
57,0.164695768,0.180894251,0.2082,0.2237
58,0.16296107,0.179394658,0.2082,0.2237
59,0.161332648,0.175712581,0.2082,0.2237
60,0.163227418,0.178781624,0.2082,0.2237
61,0.161315861,0.177067752,0.2082,0.2237
62,0.161456476,0.177919323,0.2082,0.2237
63,0.160880755,0.174254591,0.2082,0.2237
64,0.159395228,0.173053021,0.2082,0.2237
65,0.158164159,0.174806411,0.2082,0.2237
66,0.155950762,0.171388025,0.2082,0.2237
67,0.155302165,0.170911903,0.2082,0.2237
68,0.155498336,0.170151169,0.2082,0.2237
69,0.15752675,0.169501657,0.2082,0.2237
70,0.156398086,0.169650609,0.2082,0.2237
71,0.157935065,0.169499929,0.2082,0.2237
72,0.156269186,0.167362208,0.2082,0.2237
73,0.15792336,0.165576394,0.2082,0.2237
74,0.158112788,0.168397064,0.2082,0.2237
75,0.156541265,0.167549903,0.2082,0.2237
76,0.157479921,0.165126915,0.2082,0.2237
77,0.15851243,0.164806004,0.2082,0.2237
78,0.160255249,0.16844898,0.2082,0.2237
79,0.157119101,0.16385227,0.2082,0.2237
80,0.159428014,0.166727598,0.2082,0.2237
81,0.157846142,0.169399078,0.2082,0.2237
82,0.156189731,0.166296418,0.2082,0.2237
83,0.157273209,0.168459053,0.2082,0.2237
84,0.158559554,0.165122683,0.2082,0.2237
85,0.159142045,0.167136426,0.2082,0.2237
86,0.155859275,0.165766294,0.2082,0.2237
87,0.159525336,0.164338286,0.2082,0.2237
88,0.159289905,0.162657554,0.2082,0.2237
89,0.159144981,0.163775022,0.2082,0.2237
90,0.157113661,0.162912483,0.2082,0.2237
91,0.155119891,0.163271094,0.2082,0.2237
92,0.157622117,0.1626144,0.2082,0.2237
93,0.157402487,0.161939407,0.2082,0.2237
94,0.157788914,0.162680083,0.2082,0.2237
95,0.156468318,0.163090789,0.2082,0.2237
96,0.157406893,0.164094203,0.2082,0.2237
97,0.156803539,0.163979851,0.2082,0.2237
98,0.157562502,0.163317256,0.2082,0.2237
99,0.155924954,0.163255952,0.2082,0.2237
100,0.1552976,0.164623848,0.2082,0.2237
